"Year","EIN","NTEEFINAL","NTEECC","NTEE1","NAICS","NAME","ADDRESS","CITY","STATE","ZIP5","FIPS","TAXPER","ASSETS","INCOME","CASSETS","RULEDATE","CTAXPER","CTOTREV","ACCPER","LEVEL1","LEVEL2","LEVEL3","LEVEL4","NTMAJ5","NTMAJ10","NTMAJ12","MAJGRPB"
1994,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1994,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1994,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1994,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1994,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1994,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1994,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1995,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1995,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1995,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1995,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1995,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1995,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1995,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1996,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1996,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1996,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1996,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1996,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1996,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1996,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1997,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1997,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1997,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1997,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1997,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1997,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1997,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1998,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1998,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1998,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1998,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1998,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1998,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1998,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1999,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
1999,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
1999,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
1999,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
1999,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
1999,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
1999,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2000,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2000,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2000,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2000,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2000,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2000,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2000,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2001,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2001,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2001,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2001,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2001,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2001,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2001,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2002,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2002,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2002,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2002,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2002,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2002,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2002,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2003,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2003,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2003,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2003,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2003,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2003,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2003,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2004,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2004,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2004,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2004,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2004,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2004,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2004,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
